,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine_CC,Power_bhp,Seats,Price_Lakh,Manufacturer
98,4,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,Maruti
99,10,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,Volkswagen
100,9,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai
101,6,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,Hyundai
102,3,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,Datsun
103,10,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,Audi
104,11,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai
105,10,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,Maruti
106,6,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,Toyota
107,9,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,Jaguar
108,8,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra
109,6,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,Hyundai
110,3,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,Toyota
111,3,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,Maruti
112,6,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,Tata
113,5,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,BMW
114,10,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,Honda
115,6,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,Toyota
116,6,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,Volvo
117,4,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,Nissan
118,11,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,BMW
119,4,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,Maruti
120,15,102000,Petrol,Manual,Second,17.0,1086.0,113.25304969366827,5.0,0.85,Hyundai
121,6,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz
122,2,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,Hyundai
123,9,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,Maruti
124,3,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,Tata
125,6,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,Mahindra
126,11,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,Mercedes-Benz
127,7,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25,Maruti
128,13,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,Honda
129,5,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,Volkswagen
130,3,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,Maruti
131,4,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,Mahindra
132,4,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,Maruti
133,6,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,Maruti
134,3,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz
135,1,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,Hyundai
136,10,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,Maruti
137,5,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,BMW
138,5,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,Honda
139,8,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,Honda
140,6,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,Mercedes-Benz
141,6,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,Honda
142,4,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,Maruti
143,12,80759,Petrol,Manual,Third,17.0,1086.0,113.25304969366827,5.0,1.67,Hyundai
144,8,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,Toyota
145,6,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,Chevrolet
146,7,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,Skoda
147,2,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,Maruti
148,7,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,Audi
149,6,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,BMW
150,5,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,Audi
151,4,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,Maruti
152,10,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,Mercedes-Benz
153,4,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,Skoda
154,8,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,Skoda
155,1,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,Hyundai
156,8,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen
157,4,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,Datsun
158,7,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,Honda
159,7,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,Mercedes-Benz
160,5,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,Honda
161,4,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9,Toyota
162,3,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,Maruti
163,8,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9,Mahindra
164,6,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,Ford
165,8,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,Toyota
166,7,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,Volkswagen
167,10,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,Ford
168,5,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0,BMW
169,3,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66,Mercedes-Benz
170,8,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65,Honda
171,7,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,Hyundai
172,4,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5,Mercedes-Benz
173,1,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5,Hyundai
174,8,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0,Audi
175,7,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45,Volkswagen
176,3,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0,Mini
177,6,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,Hyundai
178,6,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95,Audi
179,8,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,Chevrolet
180,8,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89,Skoda
181,14,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45,Ford
182,6,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,BMW
183,13,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25,Chevrolet
184,8,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,Volkswagen
185,5,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75,Renault
186,6,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,Mercedes-Benz
187,3,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,Maruti
188,8,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,Hyundai
189,3,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04,Hyundai
190,4,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31,Mahindra
191,2,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76,Land
192,10,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford
193,4,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5,Maruti
194,13,60006,Petrol,Manual,First,0.0,1621.276449941501,113.25304969366827,5.278735151413753,2.95,Honda
195,6,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda
196,5,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,Hyundai
197,7,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,Honda
198,12,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5,Skoda
199,6,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35,Renault
200,3,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5,Mahindra
201,4,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,Maruti
202,4,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0,Hyundai
203,11,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75,Skoda
204,10,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5,Tata
205,5,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9,Audi
206,6,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0,Skoda
207,6,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,Toyota
208,10,42001,Petrol,Manual,First,16.1,1621.276449941501,113.25304969366827,5.278735151413753,2.11,Maruti
209,6,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96,Mercedes-Benz
210,7,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,Honda
211,8,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,Hyundai
212,6,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,Renault
213,5,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15,Hyundai
214,4,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,Maruti
215,10,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5,Mercedes-Benz
216,8,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0,Audi
217,8,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9,Hyundai
218,3,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9,Skoda
219,3,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0,Skoda
220,2,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22,Hyundai
221,6,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,Honda
222,16,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,Maruti
223,7,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,Mahindra
224,2,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41,Mercedes-Benz
225,7,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,Maruti
226,5,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92,Nissan
227,7,47000,Diesel,Manual,First,17.8,1248.0,113.25304969366827,5.0,4.1,Maruti
228,3,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67,Mini
229,5,70436,Diesel,Manual,First,0.0,1498.0,99.0,5.278735151413753,3.6,Ford
230,13,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85,Tata
231,4,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32,Chevrolet
232,8,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6,Volkswagen
233,4,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8,Maruti
234,8,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5,Ford
235,1,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64,Toyota
236,9,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0,Hyundai
237,9,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87,Honda
238,2,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,Hyundai
239,5,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12,Mercedes-Benz
240,7,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,Chevrolet
241,5,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2,Hyundai
242,5,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3,Toyota
243,7,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9,Maruti
244,6,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75,Toyota
245,13,72000,Petrol,Manual,Third,17.0,1086.0,113.25304969366827,5.0,0.95,Hyundai
246,4,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09,Honda
247,6,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5,BMW
248,3,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75,Hyundai
249,4,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45,Maruti
250,8,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5,Skoda
251,14,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1.8,Hyundai
252,6,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,3.7,Volkswagen
253,3,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.17,Honda
254,10,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1.75,Hyundai
255,2,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,21.99,Hyundai
256,3,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65,Toyota
257,9,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,1.85,Maruti
258,3,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95,Maruti
259,6,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.75,Hyundai
260,8,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,Maruti
261,12,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6,Hyundai
262,14,99000,Petrol,Manual,First,0.0,1086.0,113.25304969366827,5.0,1.75,Hyundai
263,10,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.8,Hyundai
264,3,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,61.29,Mercedes-Benz
265,6,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,18.0,Mercedes-Benz
266,6,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35,Maruti
267,4,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.75,Hyundai
268,10,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0,Maruti
269,4,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,10.0,Renault
270,10,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,1.65,Fiat
271,3,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,45.77,BMW
272,10,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.25,Hyundai
273,4,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8,Toyota
274,18,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,0.55,Maruti
275,2,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.15,Maruti
276,7,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,7.0,Mahindra
277,3,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,3.75,Tata
278,3,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,8.5,Ford
279,8,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35,Maruti
280,4,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.26,Maruti
281,9,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.21,Honda
282,2,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,70.36,Audi
283,11,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,2.95,Skoda
284,8,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.28,Hyundai
285,11,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,3.57,Honda
286,7,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.11,Hyundai
287,6,45051,Petrol,Automatic,First,15.0,1396.0,98.6,5.0,5.96,Hyundai
288,9,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.7,Volkswagen
289,6,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,6.9,Honda
290,2,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25,Tata
291,5,64000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,28.0,BMW
292,11,60000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,1.35,Maruti
293,5,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.85,Honda
294,8,58006,Diesel,Manual,First,15.0,1896.0,105.0,5.0,6.7,Volkswagen
295,10,74000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.1,Hyundai
296,5,77771,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,18.64,Mercedes-Benz
297,8,45275,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.8,Hyundai
298,4,48000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.25,Toyota
299,5,31652,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,26.78,Audi
300,10,109000,Diesel,Manual,Second,12.99,2494.0,100.6,7.0,8.26,Toyota
301,5,31978,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.89,Volkswagen
302,9,70000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.1,Maruti
303,3,15000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,12.69,Honda
304,7,59138,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.58,Tata
305,6,61726,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.77,Audi
306,5,48000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,20.26,Mercedes-Benz
